name,free_returns,items_sold,status,shipping,price
,False,,,0,
Harry Potter 2022 Calendar Gift Box Set,False,0,Brand New,2564,2697
New 11 PCS Harry Potter Hermione Dumbledore Voldemort Magic Wands Halloween Gift,False,,Brand New,0,2059
17'' Harry Potter Professor Albus Dumbledore Metal Core Magic Wand Costume,False,531,Brand New,0,1700
Harry Potter Marauders Map,False,680,Brand New,0,1098
14 PCS Harry Potter wand Magical wands rings necklace decorate Gift cosplay game,False,,Brand New,0,2059
New 11 PCS Harry Potter Hermione Dumbledore Snape Magic Wands With Box Halloween,False,437,Brand New,0,2059
New ListingHarry Potter Voldemort wand Replica,False,,Pre-Owned,685,1250
"HOT New Harry Potter 14.5"" Magical Wand Replica Cosplay Christmas Gift In Box",False,7852,Brand New,0,1140
New 15 PCS Harry Potter wand Magical wands ring necklace decorate Halloween Gift,False,,Brand New,0,2059
Harry Potter Magic Wand w/ LED light-up Illuminating Wand ,False,,Brand New,0,1400
New Harry Potter Hogwarts School Badge Vintage Wax Seal Stamp Set Collection Gif,False,370,Brand New,0,3599
New ListingHarry Potter Umbridge's Collectable Plate Set of 4 Cats Kittens RARE in Box,False,,Pre-Owned,0,3299
Harry Potter Hogwarts Hermione Magic Wand Wizard w/ LED Light Cosplay Costume,False,,Brand New,0,1500
Harry Potter Gryffindor House Scarf+Cap/Hat + Gloves Soft Warm Costume Xmas Gift,True,100,Brand New,0,2599
Harry Potter Vouge Gryffindor House Cosplay Knit Costume Scarf Wrap,True,,Brand New,0,949
 Harry Potter Deathly Hallows Ravenclaw crown necklace  horcrux free shippin,True,595,Brand New,0,1099
Harry Potter Snitch Wing Bracelet + Deathly Hallows Silver Necklace Free Ship,True,355,Brand New,0,1250
Occamy - Fantastic Beasts -The Noble Collection - Harry Potter - Statue,False,,Pre-Owned,1150,1500
New 11 PCS Harry Potter Hermione Dumbledore Snape Magic Wands With Box Halloween,False,,Brand New,0,2059
Brand New 11 PCS Harry Potter Hermione Dumbledore Snape Magic Wands With Box,False,,Brand New,0,2059
New ListingHarry Potter look alike wands.,True,,Pre-Owned,0,2600
11PCS Harry Potter Hermione Sirius Voldemort Magic Stick Wand Box Toys Gifts Set,False,,Brand New,0,2059
Harry Potter ornaments and more,False,,Pre-Owned,985,7500
18K Gold Plated Stainless Steel Harry Potter Time Turner Necklace 3D Hourglass!,True,0,Brand New,0,795
Harry Potter Wizarding World Dobby The House-elf Doll Kids Gift 2021,False,0,Brand New,0,1377
New ListingHarry Potter Limited Edition Plate 2001,False,,Pre-Owned,3660,432
Harry Potter The Marauder's Map Hogwarts School of Witchcraft & Wizardry **NEW**,False,887,Brand New,0,799
New ListingHarry Potter Universal Studios purple plush Pygmy VHTF,False,,Pre-Owned,495,1399
Harry Potter DEATHLY HALLOWS Great Britain Half Pennies 3-Coin Set w/4x6 Display,True,65,Brand New,0,1495
Harry Potter Hufflepuff House Cosplay Knit Wool Costume Scarf Halloween Costume,False,,Brand New,0,899
Harry Potter Ginny Weasley Magic Wand Wizard Cosplay Costume,False,350,Brand New,0,1250
New ListingThe Wizarding World of Harry Potter Owl Plush Universal Studios,False,,Pre-Owned,0,995
Harry Potter Wizarding World Doll Hermione Granger NEW DAMAGED PACKAGE,False,65,Brand New,665,1999
New ListingHarry Potter 3d windows Cards and Decoder,False,,Pre-Owned,520,700
Harry Potter Slytherin House Cosplay Knit Wool Costume Scarf Halloween Costume,False,,Brand New,0,899
New ListingHARRY POTTER HERMIONE **Case Only** DISPLAY CASE,False,,Pre-Owned,520,1500
11PCS Harry Potter Hermione Sirius Voldemort Magic Stick Wand Box Toys Gifts Set,False,,Brand New,0,2058
Harry Potter Custom Handmade Gryffindor The Fat Lady Christmas Ornament Gift,False,226,Brand New,475,1000
Harry Potter Collectible Quidditch Set New,False,17,Brand New,0,3199
Harry Potter Draco Malfoy Magic Wand Wizard Cosplay Costume,False,213,Brand New,0,1250
Harry Potter Golden Snitch Watch Necklace Quidditch Pocket Clock Pendant Steampu,False,167,Brand New,0,1099
New Listing2001 Mattel Harry Potter Slime Chamber Series Action Figure Toy,False,,Pre-Owned,550,499
"Hogwarts Headgirl Pin, Slytherin House, Universal, Wizarding World, Harry Potter",False,123,Brand New,365,1200
New ListingHarry Potter and The Sorcerer's Stone Quidditch Card Game - Mattel- 2000,False,,Pre-Owned,442,99
New ListingHarry Potter Hogwarts Terrarium Pin Wizarding World,False,,Brand New,475,1600
Harry Potter Bellatrix Lestrange Magic Wand Wizard Cosplay Costume,False,839,Brand New,0,1250
New Harry Potter wand Magical wands rings necklace decorate Halloween Gift,False,,Brand New,0,2059
New ListingHarry Potter Die-Cast Collectible Book of Spells Grade 1 Vol 1 Figure Toy ,False,,Pre-Owned,0,1499
7 HARRY POTTER BOOK ORNAMENTS HANDMADE CUSTOM ORDER,False,375,Brand New,450,1500
"Buckbeak Hippogriff Plush 13"" Universal Studios Wizarding World of Harry Potter ",False,,Pre-Owned,955,2499
Harry Potter Gringotts Coin Collection Replica Authentic Noble Collection,True,0,Brand New,0,2399
"Harry Potter Hogwarts House Banners 20"" x 12"" Each Birthday Party 5 Piece Set",False,,Brand New,615,1999
2013 Harry Potter Empty Stamp Book - Story and Castle Picture. No stamps,False,,Pre-Owned,150,150
Harry Potter Hufflepuff House Scarf Halloween Christmas winter,False,0,Brand New,0,850
2007 HARRY POTTER NECA ACTION FIGURE PROFESSOR DUMBLEDORE SERIES 2 LOOSE,False,,Pre-Owned,559,3499
Harry Potter Magic Wand Wizard Cosplay Costume red wand,False,,Brand New,0,1219
Harry Potter Ravenclaw House Cosplay Knit Wool Costume Scarf Halloween Costume,False,,Brand New,0,899
5 HARRY POTTER GLASS CHRISTMAS ORNAMENTS HANDMADE POTIONS WITCH CUSTOM,False,76,Brand New,0,2300
Harry Potter Marauders Map ,True,,Brand New,0,1050
Harry Potter Fred Weasley Magic Wand Wizard Cosplay Costume,False,114,Brand New,0,1250
Harry Potter NEW * Ravenclaw Crest Ceramic Mug * Coffee Cup Magic Licensed,True,26,Brand New,0,2195
"USA  Harry Potter Time Turner Hermione Granger Rotating Necklace ""SILVER OR GOLD",True,354,Brand New,0,899
Harry Potter Time Turner Necklace & SILVER Deathly Hallow Pendant necklace,True,1075,Brand New,0,1350
Harry Potter Rose Gold Snitch Angel Wings Cosplay Necklace with Gift Box,True,,Brand New,0,1099
Wizarding World of Harry Potter Pheonix Enmblem Pin,True,0,Brand New,0,999
,False,,,0,
Harry Potter Magical Wands Ring Necklace Pin Xmas Gift Cosplay 15 Piece Box Set,False,,Brand New,0,2059
"USA-3pc Harry Potter,Time Turner,Deathly Hallow,Ravenclaw,pendant necklaces",True,48,Brand New,0,1899
Harry Potter Golden Snitch Bracelet Gift,False,95,Brand New,1947,337
14'' Happy Potter Lord Voldemort Wand Wands Metal Core Cosplay Halloween,False,199,Brand New,0,1799
Hermione Granger Magic Wand Collection Costume Props Gift Harry Potter Toys,True,,Brand New,0,1099
Harry Potter Marauders Map and  Time Converter Hourglass Necklace,False,,,0,1499
Harry Potter Fred Weasley Magic Wand Wizard Cosplay Costume,False,114,Brand New,0,1250
Harry Potter Lucius Malfoy Magic Wand Wizard Cosplay Costume ,False,549,Brand New,0,1250
Harry Potter Albus Dumbledore Magic Wand w/ LED light-up Illuminating Wand ,False,,Brand New,0,1400
Harry Potter - Hermione Granger Wand w/ FREE Deathly Hallow Necklace,False,48,Brand New,0,2156
Harry Potter Marauder's Map Hogwarts Letter Necklace Gringotts Coins Gift Pack,False,168,Brand New,0,1499
Harry Potter Sirius Black Magic Wand Cosplay Costume LARP,False,582,Brand New,0,1250
Harry Potter Dolores Jane Umbridge Magic Wand Wizard Cosplay Costume Metal Core,False,366,Brand New,0,1250
Harry Potter Printed Stocking HP7171 New,True,,Brand New,0,1710
Harry Potter Magic Wand Wizard w/ LED Light Cosplay Costume,False,,Brand New,0,1400
Harry Potter Nymphadora Tonks Wand Wizard Cosplay Halloween Costume Metal Core,False,,Brand New,0,1250
Harry Potter Goblet of Fire Hungarian Horntail Wing Articulated Dragon Figure,True,,Brand New,0,2349
"Tri Wizard Dragon Egg Necklace, Harry Potter, Wizarding World, Noble Hogwarts HP",False,57,Brand New,395,2100
New Harry Potter Hogwarts PU School Badge Wallet Bag Package Christmas Gift ,False,229,Brand New,850,1699
"Opening Golden Snitch & Resurrection Stone Ring, Harry Potter Wizarding World HP",False,272,Brand New,495,3600
"Bellatrix Lestrange Wand 14"", Harry Potter, Ollivander's, Noble Wizarding World",False,242,Brand New,595,2900
New ListingHarry Potter Hogwarts/House Banners Set of 5,False,,Brand New,0,2200
Hallmark Harry Potter Sorting Hat Magic Keepsake Ornament 2021 SOUND MOTION,False,0,Brand New,600,8900
New Harry Potter Vouge Gryffindor House Cosplay Knit Wool Costume Scarf Wrap,False,,Brand New,0,925
Harry Potter Minerva McGonagall Magic Wand Wizard Cosplay Costume,False,,Brand New,0,1250
Harry Potter Inspired Christmas Ornament Phoenix,False,0,Brand New,550,1900
New ListingDEVLIN WHITEHORN Harry Potter Wizarding Chocolate Frog Card NEW SEALED,False,,Brand New,379,99
Harry Potter Deathly Hallows Ravenclaw crown necklace  horcrux,False,,Brand New,0,949
15'' Harry Potter  Hermione Grange Magic Wand Metal Core  Cosplay Halloween,False,77,Brand New,0,1700
New for Harry Potter Gryffindor House Cosplay Costume Winter Warmth Gloves,True,48,Brand New,0,850
"Professor McGonagall Wand 16"", Harry Potter Ollivander's, Noble Wizarding World",False,228,Brand New,595,2900
Harry Potter Mystery Wand Special Edition (Patronus Series 4) Free Shipping,True,0,Brand New,0,2394
Harry Potter Slytherin Necktie Tie Halloween Costume USA Cosplay,False,,Brand New,0,797
Harry Potter Ravenclaw Crest Lapel Pin,False,,Brand New,0,734
Harry Potter Draco Malfoy Magic Wand Wizard Cosplay Costume 2 Tone Color,False,280,Brand New,0,1250
"Harry Potter Philosophers Sorcerers Stone Prop Replica, Wizarding World Hogwarts",False,0,Brand New,595,3600
Harry Potter Inspired Ornaments 3 Headed Dog with Harp,False,0,Brand New,535,2000
New ListingHarry Potter The Marauder's Map Hogwarts School of Witchcraft & Wizardry **NEW**,False,,Brand New,0,399
New Harry Potter Ravenclaw House Cosplay Costume Winter Warmth Gloves,False,198,Brand New,0,850
Harry Potter Horcrux Resurrection Stone Ring  1” Size 7 US Seller,True,,Brand New,0,799
Harry Potter Wand with Matel Core for Lucius Malfoy in Box Film USA Seller,False,,Brand New,0,1550
"Cho Chang Wand 14"", Harry Potter, Ollivander's, Noble Wizarding World Ravenclaw",False,0,Brand New,595,2900
Universal Studios Wizarding World Harry Potter Triwizard Tournament Light Up Cup,False,0,Brand New,1595,3875
New ListingNEW - Disguise Harry Potter Slytherin House Cosplay Knit Costume Scarf ,False,,Brand New,0,899
Harry Potter's Hogwarts Gryffindor Common Room Lady and the Unicorn ‘Taste’ ,True,,Brand New,499,3499
Harry Potter Collectible The Golden Snitch Decoration Tabletop Prop Gift for Kid,False,,Brand New,0,1999
 New Harry Potter wand Magical wands rings necklace decorate Christmas Gift,False,,Brand New,0,2059
NEW Harry Potter Slytherin Scarf & Tie Green & Silver Costume Cosplay Set Buy ME,False,,Brand New,495,1269
"Hogwarts Headgirl Pin, Ravenclaw House, Universal, Wizarding World, Harry Potter",False,110,Brand New,365,1200
"Hogwarts Headgirl Pin, Gryffindor House Universal, Wizarding World Harry Potter ",False,43,Brand New,365,1200
For Harry Potter Fans Gryffindor Thicken Scarf Soft Warm Costume Cosplay,True,674,Brand New,0,1349
New 11PCS Harry Potter Hermione Dumbledore Voldemort Magic Wands Halloween Gift,False,,Brand New,0,2059
Harry Potter Plush Keychain,False,,Brand New,450,999
Harry Potter Pillow Cover - Slytherin,False,30,Brand New,0,1356
Harry Potter Hogwarts Quidditch Snitch Moving Enamel Metal Pin Badge,False,,Brand New,595,4700
Harry Potter Candy 4pc Gift Set Butterbeer Bertie Botts Jelly Slugs Choc Frog,False,602,Brand New,0,2590
New ListingHarry Potter S.P.E.W Enamel Pin,False,,Brand New,475,800
"Weasleys Wizard Wheezes Mini Puking Pastilles Figure, Harry Potter, Wizarding HP",False,,Brand New,495,4800
14.5”Harry Potter  Ron Weasley  Wand collectibles Toy Halloween Gift With Box,False,,Brand New,0,1099
Harry Potter/ Hogwarts certificate/diploma/print  - personalized with name,False,,Brand New,0,1250
"HARRY POTTER Collectible Severus Snape Doll 12"" Magical Figure Wizarding World",False,0,Brand New,0,2938
Dept 56 THE BURROW BUILDING Harry Potter Village 6003328 BRAND NEW IN BOX,True,0,Brand New,0,11691
"George Weasley Wand 14"", Harry Potter, Ollivander's, Noble Wizarding World Twin",False,120,Brand New,595,2900
"New ListingQuidditch Supplies Key, Harry Potter, LitJoy Alohamora, Wizarding World Hogwarts",False,,Brand New,595,6800
Harry Potter Slytherin Knit Soft Warm Winter Thicken Costume Scarf Gift,True,,Brand New,0,1349
Harry Potter HogWarts 15 oz coffee mug,False,,Brand New,0,1800
,False,,,0,
